""
Didn’t a couple people jump off them a while ago? I think it became a s***de spot very fast and they had to put up measures to stop people from unliving themselves.
Yeah you can’t climb it anymore
Any idea if they're going to open it anytime soon?
Was just there. Still not open and guarded AND patrolled.
I once stole Death Star plans from here.
I once incepted here.
Suicide magnet
