""
""
""
Didnt someone jump off there recently?
"Yeah, in July of 2021. The fourth suicide there since it opened in March of 2019."
Crazy
Forbidden pineapple
Friend of mine calls it “the shawarma”
""
Looks like a dried up bug.
""
